"page","viewport","overflow","scrollWidth","offenders"
"ressources/activite-02-associer-astragale-animal.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-cartes-animaux.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-02-cartes-animaux.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-cartes-animaux.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-cartes-astragales.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-02-cartes-astragales.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-cartes-astragales.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-corrige-evaluation.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""correction-table"",""id"":"""",""w"":488,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":488,""cw"":488,""right"":527},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":487,""cw"":487,""right"":527},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":487,""cw"":487,""right"":527}]"
"ressources/activite-02-corrige-evaluation.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-corrige-evaluation.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-exemple-production.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""association-board"",""id"":"""",""w"":466,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":466,""cw"":466,""right"":505},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":465,""cw"":465,""right"":504},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":465,""cw"":465,""right"":504}]"
"ressources/activite-02-exemple-production.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-02-exemple-production.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-02-fiche-eleve-classe.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-grid"",""id"":"""",""w"":486,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":486,""cw"":486,""right"":525},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":485,""cw"":485,""right"":525},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":485,""cw"":485,""right"":525}]"
